Jan 11 2018;0.000594;0.000640;0.000428;0.000515;516573;132702000
Jan 10 2018;0.000606;0.000697;0.000484;0.000535;1275940;135293000
Jan 09 2018;0.000613;0.000704;0.000479;0.000608;1247620;136925000
Jan 08 2018;0.000803;0.000807;0.000483;0.000615;2010440;179155000
Jan 07 2018;0.000961;0.000961;0.000599;0.000803;3679040;214612000
Jan 06 2018;0.000618;0.001109;0.000537;0.000962;5993560;137969000
Jan 05 2018;0.000456;0.000680;0.000417;0.000620;3272410;101684000
Jan 04 2018;0.000439;0.000536;0.000343;0.000420;2087330;97947600
Jan 03 2018;0.000268;0.000445;0.000268;0.000437;1107680;59905100
Jan 02 2018;0.000566;0.000699;0.000280;0.000297;3681310;126395000
Jan 01 2018;0.000263;0.000564;0.000259;0.000505;2824080;58603800
Dec 31 2017;0.000161;0.000283;0.000147;0.000263;369021;35983500
Dec 30 2017;0.000252;0.000257;0.000130;0.000162;208463;56299300
Dec 29 2017;0.000263;0.000273;0.000151;0.000253;408892;58635800
Dec 28 2017;0.000145;0.000258;0.000135;0.000198;485596;32296500
Dec 27 2017;0.000128;0.000151;0.000125;0.000145;200019;28563200
Dec 26 2017;0.000131;0.000141;0.000124;0.000127;90058;29171100
Dec 25 2017;0.000119;0.000135;0.000118;0.000130;171852;26559000
Dec 24 2017;0.000109;0.000120;0.000092;0.000119;165847;24275000
Dec 23 2017;0.000080;0.000133;0.000079;0.000117;144976;17942000
Dec 22 2017;0.000085;0.000095;0.000062;0.000080;40677;19004400
Dec 21 2017;0.000093;0.000112;0.000078;0.000085;69769;20832500
Dec 20 2017;0.000094;0.000104;0.000083;0.000093;52590;21065500
Dec 19 2017;0.000116;0.000121;0.000086;0.000094;55883;25896600
Dec 18 2017;0.000105;0.000131;0.000099;0.000117;141739;23448800
Dec 17 2017;0.000097;0.000109;0.000088;0.000106;166530;21587500
Dec 16 2017;0.000062;0.000101;0.000059;0.000095;252382;13798600
Dec 15 2017;0.000050;0.000065;0.000048;0.000062;48140;11184800
Dec 14 2017;0.000051;0.000056;0.000045;0.000050;36296;11394100
Dec 13 2017;0.000052;0.000061;0.000045;0.000051;12493;11524200
Dec 12 2017;0.000045;0.000062;0.000044;0.000052;27051;9974120
Dec 11 2017;0.000041;0.000051;0.000038;0.000044;31467;9186270
Dec 10 2017;0.000039;0.000050;0.000034;0.000042;13326;8736820
Dec 09 2017;0.000045;0.000050;0.000034;0.000039;14530;9975850
Dec 08 2017;0.000070;0.000073;0.000036;0.000044;13501;15558800
Dec 07 2017;0.000045;0.000072;0.000043;0.000071;17070;9929850
Dec 06 2017;0.000045;0.000054;0.000031;0.000044;10999;9937930
Dec 05 2017;0.000053;0.000061;0.000043;0.000045;5443;11859400
Dec 04 2017;0.000048;0.000059;0.000038;0.000053;5448;10688400
Dec 03 2017;0.000030;0.000055;0.000027;0.000048;5610;6668440
Dec 02 2017;0.000037;0.000038;0.000028;0.000030;4179;8162760
Dec 01 2017;0.000037;0.000050;0.000035;0.000036;7642;8244860
Nov 30 2017;0.000030;0.000037;0.000026;0.000037;4175;6797660
Nov 29 2017;0.000055;0.000056;0.000030;0.000030;12366;12197500
Nov 28 2017;0.000035;0.000056;0.000034;0.000055;5687;7819900
Nov 27 2017;0.000041;0.000047;0.000030;0.000035;12486;9058240
Nov 26 2017;0.000023;0.000090;0.000022;0.000041;4777;5027820
Nov 25 2017;0.000041;0.000042;0.000022;0.000023;7107;9079810
Nov 24 2017;0.000034;0.000050;0.000033;0.000046;9560;7502880
Nov 23 2017;0.000033;0.000037;0.000031;0.000034;6510;7351790
Nov 22 2017;0.000045;0.000056;0.000025;0.000033;17714;10013800
Nov 21 2017;0.000054;0.000057;0.000038;0.000045;6542;11996800
Nov 20 2017;0.000047;0.000063;0.000037;0.000060;3273;10386500
Nov 19 2017;0.000034;0.000053;0.000030;0.000047;8203;7529350
Nov 18 2017;0.000037;0.000043;0.000031;0.000034;3704;8192180
Nov 17 2017;0.000047;0.000053;0.000036;0.000037;5262;10462900
Nov 16 2017;0.000038;0.000086;0.000038;0.000047;12490;8481530
Nov 15 2017;0.000038;0.000089;0.000029;0.000038;11174;8483340
Nov 14 2017;0.000032;0.000044;0.000025;0.000038;6465;7085810
Nov 13 2017;0.000023;0.000033;0.000022;0.000032;2586;5079830
Nov 12 2017;0.000024;0.000027;0.000021;0.000023;2385;5328140
Nov 11 2017;0.000027;0.000037;0.000022;0.000024;2390;5932070
Nov 10 2017;0.000024;0.000037;0.000021;0.000027;3255;5311560
Nov 09 2017;0.000021;0.000031;0.000021;0.000024;4582;4746080
Nov 08 2017;0.000024;0.000024;0.000020;0.000021;20041;5258460
Nov 07 2017;0.000022;0.000025;0.000022;0.000024;21924;4881220
Nov 06 2017;0.000019;0.000023;0.000018;0.000022;21437;4227880
Nov 05 2017;0.000017;0.000021;0.000016;0.000019;52140;3875220
Nov 04 2017;0.000023;0.000023;0.000015;0.000017;59722;5043840
Nov 03 2017;0.000017;0.000028;0.000015;0.000023;11341;3675210
Nov 02 2017;0.000023;0.000023;0.000014;0.000016;13243;5018410
Nov 01 2017;0.000023;0.000031;0.000015;0.000022;10493;5109550
Oct 31 2017;0.000025;0.000029;0.000022;0.000023;15042;5583270
Oct 30 2017;0.000028;0.000031;0.000020;0.000025;6845;6337740
Oct 29 2017;0.000032;0.000033;0.000028;0.000029;6518;7028800
Oct 28 2017;0.000034;0.000034;0.000025;0.000032;8056;7606870
Oct 27 2017;0.000037;0.000044;0.000032;0.000034;2659;8281230
Oct 26 2017;0.000029;0.000038;0.000029;0.000038;3884;6526940
Oct 25 2017;0.000044;0.000044;0.000021;0.000030;7370;9678840
Oct 24 2017;0.000043;0.000045;0.000038;0.000043;4170;9487340
Oct 23 2017;0.000039;0.000043;0.000035;0.000043;5509;8663770
Oct 22 2017;0.000048;0.000049;0.000037;0.000039;8314;10771000
Oct 21 2017;0.000055;0.000057;0.000046;0.000048;3863;12150500
Oct 20 2017;0.000043;0.000056;0.000043;0.000055;3532;9638390
Oct 19 2017;0.000046;0.000046;0.000042;0.000044;3760;10229300
Oct 18 2017;0.000052;0.000052;0.000041;0.000046;4897;11550200
Oct 17 2017;0.000050;0.000056;0.000048;0.000052;9313;11098900
Oct 16 2017;0.000056;0.000140;0.000049;0.000050;5230;12418100
Oct 15 2017;0.000048;0.000056;0.000047;0.000056;51890;10589300
Oct 14 2017;0.000043;0.000050;0.000039;0.000048;11163;9545270
Oct 13 2017;0.000049;0.000057;0.000036;0.000043;13169;10831000
Oct 12 2017;0.000045;0.000071;0.000040;0.000048;10048;10047000
